"Team","Off.Rank","Games","Win-Loss","Off.Plays","Off.Yards","Off.Yards/Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards/Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown_x","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Off.Rank","Touchdowns","PAT","2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards/Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds/Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown_y","Pass.Yards","Pass.Yards/Attempt","Yards/Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards/Attempt.Allowed","Yards/Completion.Allowed","Pass.Yards.Per.Game.Allowed","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","3rd.Down.Rank","3rd.Attempts","3rd.Conversions","3rd.Percent","3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","4th.Down.Rank","4th.Attempts","4th.Conversions","4th.Percent","4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent"
"James Madison (Sun Belt)",28,11,8-3,807,4977,6.17,51,452.5,8,672,3184,4.74,25,28,289.5,36,13,11,24,10,10,20,4,0.36,9,366:05,33:17,2,69,52,337,95,8.6,64,22,141,2.0,15,53,50,1,0,11,2,407,37.0,29,28,25,1,1,11,0,230,20.9,39,479,2054,4.29,24,186.7,2,354,874,2.47,8,79.5,67,56,22,15,10,47,0.839,90,23,5,7,8,20,0.87,88,14,120,1,8.57,88,14,120,1,8.57,33,328,201,10,2923,8.91,14.54,27,265.7,43,174,318,2310,17,7.26,13.28,210.0,97,20,368,0,18.4,54,19,40,362,0,19.05,1,44,95,13,152,1,44,95,13,152,15,56,439,39.91,60,151,60,0.397,5,44,155,0.284,86,9,20,0.45,49,8,17,0.471
"Wake Forest (ACC)",29,12,7-5,907,5365,5.92,56,447.1,95,849,4927,5.8,41,43,410.6,91,8,7,15,6,12,18,-3,-0.25,100,343:07,28:36,38,53,48,350,77,6.4,106,36,213,3.0,16,58,56,1,0,12,0,442,36.8,93,43,32,4,0,17,1,351,29.2,92,470,1590,3.38,16,132.5,44,431,1651,3.83,13,137.6,39,62,14,28,12,54,0.871,29,48,10,17,11,38,0.792,123,7,103,0,14.71,123,7,103,0,14.71,10,437,279,12,3775,8.64,13.53,40,314.6,116,251,418,3276,28,7.84,13.05,273.0,80,16,311,0,19.44,65,49,15,984,0,20.08,64,98,135,13,246,64,98,135,13,246,13,56,465,38.75,19,170,79,0.465,92,75,182,0.412,63,15,30,0.5,56,11,23,0.478
"LSU (SEC)",30,13,9-4,928,5755,6.2,54,442.7,49,852,4701,5.52,34,37,361.6,74,11,6,17,12,6,18,-1,-0.08,38,403:55,31:04,97,46,40,252,66,5.1,123,45,219,3.46,38,56,50,1,0,10,1,420,32.3,40,36,33,1,0,17,0,302,23.2,45,486,2354,4.84,35,181.1,71,471,1983,4.21,18,152.5,47,58,32,9,9,50,0.862,35,45,15,7,14,36,0.8,102,15,151,0,10.07,102,15,151,0,10.07,38,442,295,6,3401,7.69,11.53,19,261.6,40,217,381,2718,16,7.13,12.53,209.1,72,16,315,0,19.69,120,27,42,645,0,23.89,69,112,118,18,248,69,112,118,18,248,61,79,688,52.92,14,167,79,0.473,86,74,182,0.407,63,10,20,0.5,18,9,23,0.391
"UAB (C-USA)",31,12,6-6,783,5307,6.78,44,442.2,56,815,4419,5.42,36,37,368.2,48,8,10,18,9,6,15,3,0.25,27,381:38,31:48,107,44,26,198,57,4.8,41,19,122,1.58,53,47,44,1,0,13,0,367,30.6,41,37,33,1,0,8,0,281,23.4,5,490,2925,5.97,30,243.8,94,436,2047,4.69,22,170.6,115,48,19,9,9,37,0.771,85,42,20,11,5,36,0.857,106,15,166,0,11.07,106,15,166,0,11.07,107,293,177,6,2382,8.13,13.46,14,198.5,24,217,379,2372,14,6.26,10.93,197.7,25,25,556,0,22.24,111,26,38,607,0,23.35,48,99,116,20,235,48,99,116,20,235,93,84,712,59.33,31,154,68,0.442,95,73,175,0.417,63,12,24,0.5,62,15,30,0.5
"Florida (SEC)",32,12,6-6,783,5294,6.76,47,441.2,103,838,4990,5.95,42,44,415.8,8,15,9,24,5,9,14,10,0.83,89,347:09,28:56,71,53,28,228,67,5.6,10,12,72,1.0,43,49,42,2,0,13,1,381,31.8,90,44,40,1,0,13,0,345,28.8,15,439,2564,5.84,29,213.7,101,468,2114,4.52,26,176.2,117,50,21,10,7,38,0.76,72,50,23,9,10,42,0.84,82,10,83,0,8.3,82,10,83,0,8.3,69,344,186,9,2730,7.94,14.68,18,227.5,89,223,370,2876,16,7.77,12.9,239.7,36,23,495,0,21.52,84,20,41,423,0,21.15,105,124,130,18,272,105,124,130,18,272,40,78,569,47.42,49,154,63,0.409,127,80,163,0.491,79,15,32,0.469,25,9,22,0.409
"BYU (FBS Independent)",33,12,7-5,776,5286,6.81,49,440.5,93,817,4916,6.02,44,45,409.7,55,4,7,11,3,6,9,2,0.17,87,347:38,28:58,129,34,22,188,45,3.8,10,12,60,1.0,41,51,46,1,0,9,1,383,31.9,100,45,38,1,0,16,1,360,30.0,52,396,2087,5.27,17,173.9,98,446,2088,4.68,21,174.0,108,42,10,15,8,33,0.786,94,56,18,17,14,49,0.875,50,10,60,0,6.0,50,10,60,0,6.0,32,380,250,6,3199,8.42,12.8,32,266.6,85,246,371,2828,23,7.62,11.5,235.7,61,21,425,0,20.24,101,28,33,621,1,22.18,95,111,127,26,264,95,111,127,26,264,66,70,644,53.67,29,145,65,0.448,120,72,160,0.45,130,6,23,0.261,83,13,24,0.542
"Tulane (AAC)",34,13,11-2,884,5640,6.38,58,433.8,33,925,4451,4.81,32,33,342.4,34,9,11,20,10,5,15,5,0.38,58,394:53,30:23,111,51,18,215,60,4.6,63,25,129,1.92,21,60,59,0,0,13,0,458,35.2,25,33,32,0,0,12,0,266,20.5,31,523,2562,4.9,30,197.1,73,514,2000,3.89,14,153.8,52,63,25,18,11,54,0.857,64,36,11,9,10,30,0.833,3,7,8,0,1.14,3,7,8,0,1.14,58,361,233,5,3078,8.53,13.21,28,236.8,18,240,411,2451,18,5.96,10.21,188.5,20,27,608,0,22.52,45,23,46,427,0,18.57,64,118,116,12,246,64,118,116,12,246,8,52,450,34.62,76,164,63,0.384,38,72,207,0.348,41,14,25,0.56,86,23,42,0.548
"Penn St. (Big Ten)",35,12,10-2,858,5189,6.05,52,432.4,16,829,3814,4.6,23,25,317.8,11,12,12,24,8,7,15,9,0.75,37,373:03,31:05,7,79,32,388,95,7.9,34,18,113,1.5,19,56,53,0,0,13,1,430,35.8,9,25,22,1,0,14,0,216,18.0,43,458,2185,4.77,25,182.1,14,393,1261,3.21,13,105.1,23,48,19,17,7,43,0.896,7,39,10,7,11,28,0.718,63,14,95,0,6.79,63,14,95,0,6.79,51,400,254,7,3004,7.51,11.83,27,250.3,49,230,436,2553,10,5.86,11.1,212.8,24,17,379,1,22.29,61,30,42,589,0,19.63,22,81,112,19,212,22,81,112,19,212,50,66,595,49.58,95,167,61,0.365,14,56,183,0.306,6,21,29,0.724,74,14,27,0.519
"Texas (Big 12)",36,12,8-4,810,5164,6.38,49,430.3,50,887,4344,4.9,29,30,362.0,62,4,9,13,5,7,12,1,0.08,117,330:48,27:34,12,64,46,312,87,7.2,30,17,136,1.42,20,53,53,0,0,19,0,428,35.7,30,30,28,1,0,14,1,254,21.2,26,452,2395,5.3,28,199.6,29,441,1476,3.35,13,123.0,26,55,20,15,14,49,0.891,15,38,10,9,10,29,0.763,15,10,34,0,3.4,15,10,34,0,3.4,63,358,217,7,2769,7.73,12.76,21,230.8,88,283,446,2868,16,6.43,10.13,239.0,17,19,432,0,22.74,25,34,27,591,0,17.38,76,86,143,22,251,76,86,143,22,251,41,73,570,47.5,73,150,58,0.387,79,77,194,0.397,63,10,20,0.5,78,18,34,0.529
"Baylor (Big 12)",37,12,6-6,878,5150,5.87,51,429.2,60,824,4444,5.39,38,40,370.3,55,6,13,19,6,11,17,2,0.17,16,389:37,32:28,102,46,26,241,59,4.9,44,20,130,1.67,31,54,49,2,0,8,1,403,33.6,65,40,36,0,1,13,1,319,26.6,34,509,2329,4.58,34,194.1,44,429,1651,3.85,22,137.6,88,52,29,8,5,42,0.808,120,45,20,10,11,41,0.911,30,14,66,0,4.71,30,14,66,0,4.71,61,369,236,11,2821,7.64,11.95,17,235.1,80,241,395,2793,16,7.07,11.59,232.8,113,29,497,0,17.14,121,15,56,361,1,24.07,78,107,126,19,252,78,107,126,19,252,21,57,507,42.25,36,168,72,0.429,121,73,161,0.453,12,27,41,0.659,27,7,17,0.412
"Kansas (Big 12)",38,12,6-6,727,5099,7.01,54,424.9,121,911,5419,5.95,51,51,451.6,37,9,11,20,10,6,16,4,0.33,98,344:08,28:41,107,45,24,214,57,4.8,7,9,52,0.75,27,56,53,0,0,7,0,410,34.2,119,51,46,2,0,16,1,406,33.8,33,412,2336,5.67,27,194.7,115,512,2324,4.54,32,193.7,52,56,23,18,7,48,0.857,74,57,27,8,13,48,0.842,70,10,73,0,7.3,70,10,73,0,7.3,65,315,205,6,2763,8.77,13.48,27,230.2,104,258,399,3095,19,7.76,12.0,257.9,98,22,403,0,18.32,118,21,41,501,0,23.86,124,125,145,24,294,124,125,145,24,294,42,65,571,47.58,7,141,71,0.504,124,84,179,0.469,78,8,17,0.471,124,19,28,0.679
"Ohio (MAC)",39,13,9-4,885,5512,6.23,48,424.0,113,908,5686,6.26,45,46,437.4,6,13,11,24,7,5,12,12,0.92,21,419:31,32:16,33,62,48,365,86,6.6,47,22,171,1.69,40,51,48,1,0,19,1,415,31.9,86,46,42,2,0,15,1,369,28.4,85,455,1802,3.96,22,138.6,56,427,1868,4.37,17,143.7,27,63,21,18,17,56,0.889,94,48,14,17,11,42,0.875,85,18,153,0,8.5,85,18,153,0,8.5,18,430,282,5,3710,8.63,13.16,26,285.4,130,315,481,3818,28,7.94,12.12,293.7,73,52,"1,020",1,19.62,26,37,31,650,0,17.57,122,91,179,23,293,122,91,179,23,293,27,65,575,44.23,44,171,71,0.415,69,64,165,0.388,120,6,17,0.353,16,13,34,0.382
"South Alabama (Sun Belt)",40,12,10-2,873,5087,5.83,44,423.9,11,758,3633,4.79,25,27,302.8,31,7,12,19,4,10,14,5,0.42,18,388:44,32:24,34,59,40,336,79,6.6,53,22,134,1.83,41,47,44,2,0,17,1,383,31.9,14,27,24,1,0,15,0,233,19.4,57,480,1994,4.15,19,166.2,4,342,1053,3.08,8,87.8,68,49,18,12,11,41,0.837,35,35,7,10,11,28,0.8,110,16,184,1,11.5,110,16,184,1,11.5,42,393,254,10,3093,7.87,12.18,25,257.8,51,243,416,2580,17,6.2,10.62,215.0,32,22,478,0,21.73,51,32,29,605,0,18.91,23,71,108,34,213,23,71,108,34,213,129,98,893,74.42,35,179,77,0.43,11,49,163,0.301,22,17,27,0.63,105,15,25,0.6
"Duke (ACC)",41,12,8-4,815,5054,6.2,48,421.2,73,820,4600,5.61,33,34,383.3,2,15,9,24,4,6,10,14,1.17,14,392:45,32:44,88,46,32,325,62,5.2,30,17,107,1.42,34,51,49,0,0,14,0,397,33.1,37,34,32,1,0,12,0,274,22.8,40,444,2217,4.99,28,184.8,25,390,1453,3.73,8,121.1,88,52,21,11,10,42,0.808,114,38,8,17,9,34,0.895,44,13,74,0,5.69,44,13,74,0,5.69,60,371,236,6,2837,7.65,12.02,20,236.4,109,261,430,3147,25,7.32,12.06,262.2,54,30,623,0,20.77,27,28,42,492,0,17.57,71,89,142,18,249,71,89,142,18,249,67,67,652,54.33,42,158,66,0.418,114,72,165,0.436,41,14,25,0.56,25,9,22,0.409
"Memphis (AAC)",42,12,6-6,871,5048,5.8,48,420.7,63,840,4463,5.31,40,43,371.9,37,6,13,19,7,8,15,4,0.33,61,361:34,30:08,110,43,26,183,56,4.7,92,32,197,2.67,22,52,45,2,0,20,0,421,35.1,75,43,37,3,0,9,0,328,27.3,81,446,1703,3.82,28,141.9,26,414,1461,3.53,17,121.8,29,59,26,12,14,52,0.881,64,42,16,12,7,35,0.833,124,13,192,1,14.77,124,13,192,1,14.77,22,425,270,8,3345,7.87,12.39,20,278.8,99,267,426,3002,23,7.05,11.24,250.2,12,28,647,0,23.11,122,32,31,775,1,24.22,51,87,133,17,237,51,87,133,17,237,9,48,424,35.33,25,180,82,0.456,94,74,178,0.416,54,13,24,0.542,43,11,24,0.458
"Kansas St. (Big 12)",43,13,10-3,884,5462,6.18,51,420.2,53,893,4756,5.33,30,31,365.8,5,8,16,24,6,4,10,14,1.08,31,409:16,31:29,95,58,18,288,67,5.2,33,19,121,1.46,33,54,52,0,0,18,1,432,33.2,17,31,23,2,0,16,0,261,20.1,17,530,2725,5.14,30,209.6,63,452,1936,4.28,14,148.9,15,52,21,10,16,47,0.904,43,36,13,10,6,29,0.806,33,8,40,0,5.0,33,8,40,0,5.0,93,354,224,4,2737,7.73,12.22,21,210.5,56,255,441,2820,16,6.39,11.06,216.9,8,30,737,0,24.57,15,22,49,372,0,16.91,69,97,129,22,248,69,97,129,22,248,26,68,561,43.15,70,177,69,0.39,25,62,184,0.337,45,15,27,0.556,20,13,33,0.394
"Kent St. (MAC)",44,12,5-7,866,5007,5.78,40,417.2,111,898,5199,5.79,42,42,433.2,69,6,7,13,5,8,13,0,0.0,125,320:10,26:41,64,56,28,241,70,5.8,48,21,130,1.75,66,42,36,1,0,17,0,341,28.4,92,42,41,0,0,17,2,348,29.0,23,517,2425,4.69,23,202.1,81,496,1921,3.87,19,160.1,114,49,20,7,11,38,0.776,60,46,15,10,13,38,0.826,55,15,94,0,6.27,55,15,94,0,6.27,89,349,194,8,2582,7.4,13.31,17,215.2,117,281,402,3278,23,8.15,11.67,273.2,16,37,847,0,22.89,16,34,20,575,0,16.91,112,111,151,17,279,112,111,151,17,279,70,81,657,54.75,47,175,72,0.411,75,71,180,0.394,63,12,24,0.5,99,18,31,0.581
"Georgia St. (Sun Belt)",45,12,4-8,875,5005,5.72,44,417.1,87,836,4792,5.73,44,49,399.3,31,12,13,25,13,7,20,5,0.42,112,335:14,27:56,50,46,56,286,74,6.2,98,34,174,2.83,56,47,41,2,0,11,0,360,30.0,107,49,44,3,0,10,0,374,31.2,16,577,2562,4.44,26,213.5,93,476,2046,4.3,22,170.5,73,41,21,8,5,34,0.829,94,40,17,13,5,35,0.875,47,23,135,3,5.87,47,23,135,3,5.87,101,298,174,7,2443,8.2,14.04,18,203.6,76,217,360,2746,22,7.63,12.65,228.8,131,11,103,0,9.36,113,14,47,329,0,23.5,99,124,112,29,265,99,124,112,29,265,118,85,779,64.92,51,182,74,0.407,96,68,163,0.417,45,15,27,0.556,35,11,25,0.44
"Oklahoma St. (Big 12)",46,12,7-5,943,4985,5.29,42,415.4,116,919,5290,5.76,44,44,440.8,98,5,12,17,5,16,21,-4,-0.33,106,339:00,28:15,16,65,40,259,85,7.1,71,26,151,2.17,43,45,42,1,0,21,2,381,31.8,95,44,38,4,0,14,0,352,29.3,93,450,1580,3.51,20,131.7,96,447,2056,4.6,21,171.3,32,50,17,12,15,44,0.88,116,41,13,11,13,37,0.902,90,27,235,0,8.7,90,27,235,0,8.7,20,493,278,16,3405,6.91,12.25,22,283.8,114,270,472,3234,23,6.85,11.98,269.5,9,31,750,1,24.19,50,31,25,584,0,18.84,78,95,143,14,252,78,95,143,14,252,6,43,401,33.42,97,190,69,0.363,4,50,185,0.27,128,4,15,0.267,62,15,30,0.5
"Tulsa (AAC)",47,12,5-7,843,4942,5.86,45,411.8,99,846,4971,5.88,41,47,414.2,82,10,6,16,8,10,18,-2,-0.17,91,346:42,28:54,96,39,44,205,61,5.1,128,45,284,3.75,53,45,44,0,0,17,1,367,30.6,115,47,45,1,0,22,1,397,33.1,84,429,1664,3.88,18,138.7,123,508,2495,4.91,20,207.9,32,50,15,16,13,44,0.88,113,47,16,9,17,42,0.894,115,23,293,2,12.74,115,23,293,2,12.74,24,414,241,10,3278,7.92,13.6,27,273.2,33,195,338,2476,21,7.33,12.7,206.3,128,19,303,0,15.95,7,28,30,442,0,15.79,67,123,105,19,247,67,123,105,19,247,85,74,685,57.08,63,170,67,0.394,52,66,180,0.367,17,11,17,0.647,100,14,24,0.583
"Fla. Atlantic (C-USA)",48,12,5-7,870,4938,5.68,44,411.5,107,845,5097,6.03,40,41,424.8,17,9,12,21,8,5,13,8,0.67,94,345:43,28:49,105,43,30,174,58,4.8,21,14,88,1.17,57,47,45,0,0,10,0,357,29.8,65,41,36,2,0,11,0,319,26.6,41,491,2212,4.51,19,184.3,103,440,2148,4.88,15,179.0,102,49,16,17,6,39,0.796,88,45,13,18,8,39,0.867,57,25,164,0,6.56,57,25,164,0,6.56,71,379,217,5,2726,7.19,12.56,25,227.2,96,245,405,2949,25,7.28,12.04,245.8,126,14,224,0,16.0,8,30,29,488,0,16.27,78,95,131,26,252,78,95,131,26,252,88,74,696,58.0,33,190,82,0.432,48,57,157,0.363,49,11,20,0.55,24,11,27,0.407
"Coastal Carolina (Sun Belt)",49,12,9-3,811,4934,6.08,45,411.2,97,771,4948,6.42,43,44,412.3,37,12,9,21,11,6,17,4,0.33,15,392:12,32:41,16,56,58,351,85,7.1,71,26,149,2.17,60,47,43,0,0,8,0,349,29.1,101,44,43,0,0,18,0,361,30.1,58,475,1946,4.1,19,162.2,38,407,1564,3.84,20,130.3,116,38,16,9,4,29,0.763,45,47,15,9,14,38,0.809,97,11,104,0,9.45,97,11,104,0,9.45,52,336,220,6,2988,8.89,13.58,26,249.0,124,229,364,3384,23,9.3,14.78,282.0,62,24,485,1,20.21,69,29,20,584,0,20.14,64,87,143,16,246,64,87,143,16,246,65,70,642,53.5,36,161,69,0.429,99,64,153,0.418,29,12,20,0.6,51,9,19,0.474
"Purdue (Big Ten)",50,13,8-5,971,5334,5.49,42,410.3,38,821,4548,5.54,39,41,349.8,69,6,14,20,6,14,20,0,0.0,24,416:55,32:04,109,52,18,279,61,4.7,54,24,169,1.85,70,45,41,0,0,18,0,365,28.1,54,41,34,2,0,12,0,320,24.6,105,430,1600,3.72,17,123.1,41,444,1768,3.98,15,136.0,7,53,16,18,15,49,0.925,58,39,11,14,7,32,0.821,40,19,105,0,5.53,40,19,105,0,5.53,17,541,350,14,3734,6.9,10.67,25,287.2,50,211,377,2780,24,7.37,13.18,213.8,117,26,443,0,17.04,48,27,37,506,0,18.74,41,85,117,26,228,41,85,117,26,228,69,69,711,54.69,59,191,76,0.398,22,58,177,0.328,39,15,26,0.577,62,9,18,0.5
"Maryland (Big Ten)",51,12,7-5,836,4878,5.83,43,406.5,51,860,4346,5.05,33,34,362.2,62,7,7,14,7,6,13,1,0.08,53,366:26,30:32,88,58,8,255,62,5.2,115,39,246,3.25,58,43,38,2,1,16,0,350,29.2,48,34,31,0,0,18,0,289,24.1,70,428,1761,4.11,23,146.8,51,441,1712,3.88,16,142.7,14,45,18,14,9,41,0.911,45,47,11,14,13,38,0.809,26,20,84,0,4.2,26,20,84,0,4.2,40,408,274,6,3117,7.64,11.38,20,259.8,60,245,419,2634,17,6.29,10.75,219.5,81,34,658,0,19.35,108,17,47,385,0,22.65,83,96,122,37,255,83,96,122,37,255,126,93,864,72.0,50,179,73,0.408,82,72,180,0.4,13,17,26,0.654,59,12,25,0.48
"Marshall (Sun Belt)",52,12,8-4,898,4870,5.42,33,405.8,10,772,3513,4.55,20,23,292.8,17,10,15,25,8,9,17,8,0.67,22,386:15,32:11,25,55,52,327,81,6.8,102,35,218,2.92,95,36,33,0,1,13,0,290,24.2,7,23,18,1,0,12,0,194,16.2,21,552,2467,4.47,19,205.6,5,381,1065,2.8,8,88.8,129,46,14,8,10,32,0.696,55,27,8,6,8,22,0.815,66,12,84,0,7.0,66,12,84,0,7.0,104,346,215,9,2403,6.95,11.18,14,200.2,31,206,391,2448,12,6.26,11.88,204.0,79,17,331,0,19.47,82,14,26,293,1,20.93,7,60,102,20,182,7,60,102,20,182,109,83,747,62.25,82,192,72,0.375,1,41,175,0.234,131,5,20,0.25,44,12,26,0.462
"Toledo (MAC)",53,13,8-5,936,5275,5.64,52,405.8,25,911,4314,4.74,39,42,331.8,116,5,12,17,10,15,25,-8,-0.62,81,378:45,29:08,18,69,44,355,91,7.0,54,24,159,1.85,39,54,54,0,0,13,0,417,32.1,59,42,36,4,0,12,0,332,25.5,49,526,2314,4.4,22,178.0,59,503,1903,3.78,24,146.4,35,49,16,19,8,43,0.878,89,38,18,9,6,33,0.868,33,8,40,1,5.0,33,8,40,1,5.0,68,410,228,15,2961,7.22,12.99,30,227.8,15,221,408,2411,15,5.91,10.91,185.5,125,21,341,0,16.24,92,48,19,1035,0,21.56,36,103,108,13,224,36,103,108,13,224,72,89,715,55.0,75,192,74,0.385,27,72,213,0.338,25,16,26,0.615,29,10,24,0.417
"Louisville (ACC)",54,12,7-5,814,4861,5.97,35,405.1,35,795,4165,5.24,29,29,347.1,17,13,15,28,10,10,20,8,0.67,65,358:17,29:51,12,68,38,386,87,7.2,71,26,166,2.17,76,39,35,0,0,19,0,326,27.2,19,29,29,0,0,13,0,242,20.2,35,469,2321,4.95,23,193.4,48,448,1687,3.77,13,140.6,64,45,16,6,16,38,0.844,10,42,10,10,11,31,0.738,39,23,127,0,5.52,39,23,127,0,5.52,92,345,205,10,2540,7.36,12.39,12,211.7,34,204,347,2478,16,7.14,12.15,206.5,5,14,353,1,25.21,13,22,40,371,0,16.86,41,104,101,23,228,41,104,101,23,228,123,85,833,69.42,90,163,60,0.368,36,55,159,0.346,113,11,29,0.379,1,3,19,0.158
"Clemson (ACC)",55,13,11-2,925,5260,5.69,54,404.6,24,864,4307,4.98,29,32,331.3,67,8,13,21,12,8,20,1,0.08,43,400:44,30:50,6,81,44,403,103,7.9,54,24,152,1.85,25,56,51,3,0,18,2,451,34.7,17,32,30,0,0,13,0,261,20.1,46,501,2327,4.64,30,179.0,10,404,1314,3.25,11,101.1,2,58,26,18,12,56,0.966,47,42,11,12,11,34,0.81,105,22,233,1,10.59,105,22,233,1,10.59,74,424,268,8,2933,6.92,10.94,24,225.6,77,280,460,2993,18,6.51,10.69,230.2,14,14,322,0,23.0,60,13,67,255,0,19.62,51,83,132,22,237,51,83,132,22,237,47,72,630,48.46,10,193,94,0.487,46,66,183,0.361,10,6,9,0.667,12,9,24,0.375
"Minnesota (Big Ten)",56,12,8-4,813,4849,5.96,42,404.1,5,685,3354,4.9,16,16,279.5,37,4,13,17,4,9,13,4,0.33,2,422:52,35:14,131,35,12,147,41,3.4,20,13,87,1.08,68,42,42,0,0,15,0,339,28.2,4,16,16,0,0,16,0,160,13.3,11,548,2618,4.78,32,218.2,15,342,1270,3.71,8,105.8,46,51,29,6,9,44,0.863,103,25,7,3,12,22,0.88,11,9,26,0,2.89,11,9,26,0,2.89,114,265,161,9,2231,8.42,13.86,10,185.9,8,197,343,2084,8,6.08,10.58,173.7,42,20,425,0,21.25,74,6,58,123,0,20.5,3,68,94,10,172,3,68,94,10,172,5,44,393,32.75,2,156,82,0.526,2,39,149,0.262,51,6,11,0.545,100,14,24,0.583
"Pittsburgh (ACC)",57,12,8-4,823,4830,5.87,40,402.5,17,772,3836,4.97,32,34,319.7,82,7,10,17,9,10,19,-2,-0.17,11,394:57,32:55,21,69,26,399,82,6.8,34,18,143,1.5,47,46,45,1,0,15,1,370,30.8,41,34,29,0,0,16,0,281,23.4,44,475,2175,4.58,28,181.2,7,356,1146,3.22,11,95.5,92,41,20,5,8,33,0.805,52,43,10,14,11,35,0.814,31,18,87,1,4.83,31,18,87,1,4.83,79,348,202,10,2655,7.63,13.14,12,221.2,67,229,416,2690,21,6.47,11.75,224.2,121,27,450,0,16.67,17,16,52,272,0,17.0,19,65,114,30,209,19,65,114,30,209,119,90,793,66.08,52,161,65,0.404,17,53,170,0.312,120,6,17,0.353,53,10,21,0.476
"Liberty (FBS Independent)",58,12,8-4,848,4809,5.67,42,400.8,34,822,4144,5.04,34,37,345.3,91,9,14,23,11,15,26,-3,-0.25,76,352:13,29:21,1,75,68,454,109,9.1,115,39,204,3.25,68,43,40,2,0,11,2,339,28.2,56,37,32,2,0,13,1,299,24.9,47,473,2143,4.53,23,178.6,57,460,1729,3.76,19,144.1,94,45,17,11,8,36,0.8,47,42,14,10,10,34,0.81,108,12,137,0,11.42,108,12,137,0,11.42,78,375,217,15,2666,7.11,12.29,19,222.2,28,211,362,2415,15,6.67,11.45,201.2,46,35,738,1,21.09,53,21,41,400,0,19.05,25,88,100,27,215,25,88,100,27,215,68,75,656,54.67,84,167,62,0.371,19,56,175,0.32,83,11,24,0.458,91,16,28,0.571
